29.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
13:54:01.0 (371774)|USER_INFO|[EXTERNAL]|005a000000AhPNu|pallavi.bhari@arris.com.uat|Eastern Standard Time|GMT-04:00
13:54:01.0 (399364)|EXECUTION_STARTED
13:54:01.0 (403437)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
13:54:01.0 (432456)|CODE_UNIT_STARTED|[EXTERNAL]|01qa0000000630r|populateTestDocLineFields on Doc_Line trigger event BeforeUpdate for [a5Hn00000003fsq]
13:54:01.0 (482236)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
13:54:01.0 (602238)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
13:54:01.0 (972719)|HEAP_ALLOCATE|[72]|Bytes:3
13:54:01.0 (1013670)|HEAP_ALLOCATE|[77]|Bytes:152
13:54:01.0 (1029846)|HEAP_ALLOCATE|[342]|Bytes:408
13:54:01.0 (1044667)|HEAP_ALLOCATE|[355]|Bytes:408
13:54:01.0 (1057998)|HEAP_ALLOCATE|[467]|Bytes:48
13:54:01.0 (1086148)|HEAP_ALLOCATE|[139]|Bytes:6
13:54:01.0 (1299788)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:44
13:54:01.0 (1309150)|VARIABLE_SCOPE_BEGIN|[10]|this|populateTestDocLineFields|true|false
13:54:01.0 (1392571)|VARIABLE_ASSIGNMENT|[10]|this|{}|0x303529f0
13:54:01.0 (1433308)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:44
13:54:01.0 (1439424)|VARIABLE_SCOPE_BEGIN|[10]|this|populateTestDocLineFields|true|false
13:54:01.0 (1449830)|VARIABLE_ASSIGNMENT|[10]|this|{}|0x303529f0
13:54:01.0 (1454393)|STATEMENT_EXECUTE|[10]
13:54:01.0 (1456239)|STATEMENT_EXECUTE|[11]
13:54:01.0 (1472414)|HEAP_ALLOCATE|[11]|Bytes:4
13:54:01.0 (1542239)|HEAP_ALLOCATE|[50]|Bytes:5
13:54:01.0 (1568962)|HEAP_ALLOCATE|[56]|Bytes:5
13:54:01.0 (1577502)|HEAP_ALLOCATE|[64]|Bytes:7
13:54:01.0 (1638498)|VARIABLE_ASSIGNMENT|[11]|this.changeControlIDs|[]|0x303529f0
13:54:01.0 (1641900)|STATEMENT_EXECUTE|[12]
13:54:01.0 (1650156)|HEAP_ALLOCATE|[12]|Bytes:4
13:54:01.0 (1681634)|VARIABLE_ASSIGNMENT|[12]|this.reqLineIDs|[]|0x303529f0
13:54:01.0 (1684579)|STATEMENT_EXECUTE|[13]
13:54:01.0 (1689595)|HEAP_ALLOCATE|[13]|Bytes:4
13:54:01.0 (1709775)|VARIABLE_ASSIGNMENT|[13]|this.wrkldId|[]|0x303529f0
13:54:01.0 (1712255)|STATEMENT_EXECUTE|[14]
13:54:01.0 (1717036)|HEAP_ALLOCATE|[14]|Bytes:65
13:54:01.0 (1724811)|HEAP_ALLOCATE|[14]|Bytes:4
13:54:01.0 (2025027)|SOQL_EXECUTE_BEGIN|[14]|Aggregations:0|SELECT Id, name FROM RecordType WHERE SobjectType = 'Doc_Line__c'
13:54:01.0 (25159555)|SOQL_EXECUTE_END|[14]|Rows:27
13:54:01.0 (25180420)|HEAP_ALLOCATE|[14]|Bytes:112
13:54:01.0 (25222024)|HEAP_ALLOCATE|[14]|Bytes:1522
13:54:01.0 (25257078)|HEAP_ALLOCATE|[14]|Bytes:112
13:54:01.0 (25333796)|VARIABLE_ASSIGNMENT|[14]|this.recordTypeset|"List of size 27 too large to display"|0x303529f0
13:54:01.0 (25341395)|STATEMENT_EXECUTE|[15]
13:54:01.0 (25359603)|HEAP_ALLOCATE|[15]|Bytes:4
13:54:01.0 (25397011)|VARIABLE_ASSIGNMENT|[15]|this.recordTypeMap|{}|0x303529f0
13:54:01.0 (25401798)|STATEMENT_EXECUTE|[16]
13:54:01.0 (25411232)|HEAP_ALLOCATE|[16]|Bytes:4
13:54:01.0 (25433678)|VARIABLE_ASSIGNMENT|[16]|this.docrecordTypeMap|{}|0x303529f0
13:54:01.0 (25658157)|HEAP_ALLOCATE|[18]|Bytes:5
13:54:01.0 (25704700)|HEAP_ALLOCATE|[18]|Bytes:12
13:54:01.0 (25716126)|VARIABLE_SCOPE_BEGIN|[18]|r|RecordType|true|false
13:54:01.0 (25739743)|VARIABLE_ASSIGNMENT|[18]|r|{"Id":"012a00000018FzhAAE","Name":"User Review"}|0xbd67fd2
13:54:01.0 (25745795)|STATEMENT_EXECUTE|[18]
13:54:01.0 (25747657)|STATEMENT_EXECUTE|[19]
13:54:01.0 (25868375)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
13:54:01.0 (25880079)|STATEMENT_EXECUTE|[20]
13:54:01.0 (25923761)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
13:54:01.0 (25936908)|HEAP_ALLOCATE|[18]|Bytes:5
13:54:01.0 (25957173)|HEAP_ALLOCATE|[18]|Bytes:12
