29.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WAVE,INFO;WORKFLOW,INFO
14:03:16.0 (351745)|USER_INFO|[EXTERNAL]|005a000000AhPNu|pallavi.bhari@arris.com.uat|Eastern Standard Time|GMT-04:00
14:03:16.0 (380540)|EXECUTION_STARTED
14:03:16.0 (385289)|CODE_UNIT_STARTED|[EXTERNAL]|TRIGGERS
14:03:16.0 (419565)|CODE_UNIT_STARTED|[EXTERNAL]|01qa0000000630r|populateTestDocLineFields on Doc_Line trigger event BeforeUpdate for [a5Hn00000003fsq]
14:03:16.0 (475451)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
14:03:16.0 (592030)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
14:03:16.0 (971763)|HEAP_ALLOCATE|[72]|Bytes:3
14:03:16.0 (1007768)|HEAP_ALLOCATE|[77]|Bytes:152
14:03:16.0 (1021106)|HEAP_ALLOCATE|[342]|Bytes:408
14:03:16.0 (1035789)|HEAP_ALLOCATE|[355]|Bytes:408
14:03:16.0 (1049132)|HEAP_ALLOCATE|[467]|Bytes:48
14:03:16.0 (1076783)|HEAP_ALLOCATE|[139]|Bytes:6
14:03:16.0 (1311060)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:44
14:03:16.0 (1320888)|VARIABLE_SCOPE_BEGIN|[10]|this|populateTestDocLineFields|true|false
14:03:16.0 (1398105)|VARIABLE_ASSIGNMENT|[10]|this|{}|0x5958075e
14:03:16.0 (1435267)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:44
14:03:16.0 (1440780)|VARIABLE_SCOPE_BEGIN|[10]|this|populateTestDocLineFields|true|false
14:03:16.0 (1452238)|VARIABLE_ASSIGNMENT|[10]|this|{}|0x5958075e
14:03:16.0 (1457645)|STATEMENT_EXECUTE|[10]
14:03:16.0 (1459344)|STATEMENT_EXECUTE|[11]
14:03:16.0 (1474985)|HEAP_ALLOCATE|[11]|Bytes:4
14:03:16.0 (1551759)|HEAP_ALLOCATE|[50]|Bytes:5
14:03:16.0 (1572331)|HEAP_ALLOCATE|[56]|Bytes:5
14:03:16.0 (1579768)|HEAP_ALLOCATE|[64]|Bytes:7
14:03:16.0 (1634534)|VARIABLE_ASSIGNMENT|[11]|this.changeControlIDs|[]|0x5958075e
14:03:16.0 (1637333)|STATEMENT_EXECUTE|[12]
14:03:16.0 (1645109)|HEAP_ALLOCATE|[12]|Bytes:4
14:03:16.0 (1673624)|VARIABLE_ASSIGNMENT|[12]|this.reqLineIDs|[]|0x5958075e
14:03:16.0 (1676138)|STATEMENT_EXECUTE|[13]
14:03:16.0 (1680925)|HEAP_ALLOCATE|[13]|Bytes:4
14:03:16.0 (1699851)|VARIABLE_ASSIGNMENT|[13]|this.wrkldId|[]|0x5958075e
14:03:16.0 (1701833)|STATEMENT_EXECUTE|[14]
14:03:16.0 (1706788)|HEAP_ALLOCATE|[14]|Bytes:65
14:03:16.0 (1714047)|HEAP_ALLOCATE|[14]|Bytes:4
14:03:16.0 (1925641)|SOQL_EXECUTE_BEGIN|[14]|Aggregations:0|SELECT Id, name FROM RecordType WHERE SobjectType = 'Doc_Line__c'
14:03:16.0 (26166744)|SOQL_EXECUTE_END|[14]|Rows:27
14:03:16.0 (26201118)|HEAP_ALLOCATE|[14]|Bytes:112
14:03:16.0 (26250528)|HEAP_ALLOCATE|[14]|Bytes:1522
14:03:16.0 (26312177)|HEAP_ALLOCATE|[14]|Bytes:112
14:03:16.0 (26377518)|VARIABLE_ASSIGNMENT|[14]|this.recordTypeset|"List of size 27 too large to display"|0x5958075e
14:03:16.0 (26383234)|STATEMENT_EXECUTE|[15]
14:03:16.0 (26413505)|HEAP_ALLOCATE|[15]|Bytes:4
14:03:16.0 (26473834)|VARIABLE_ASSIGNMENT|[15]|this.recordTypeMap|{}|0x5958075e
14:03:16.0 (26477570)|STATEMENT_EXECUTE|[16]
14:03:16.0 (26484140)|HEAP_ALLOCATE|[16]|Bytes:4
14:03:16.0 (26499479)|VARIABLE_ASSIGNMENT|[16]|this.docrecordTypeMap|{}|0x5958075e
14:03:16.0 (26786202)|HEAP_ALLOCATE|[18]|Bytes:5
14:03:16.0 (26832871)|HEAP_ALLOCATE|[18]|Bytes:12
14:03:16.0 (26844789)|VARIABLE_SCOPE_BEGIN|[18]|r|RecordType|true|false
14:03:16.0 (26863139)|VARIABLE_ASSIGNMENT|[18]|r|{"Id":"012a00000018FzhAAE","Name":"User Review"}|0x717bf096
14:03:16.0 (26866616)|STATEMENT_EXECUTE|[18]
14:03:16.0 (26868144)|STATEMENT_EXECUTE|[19]
14:03:16.0 (26957555)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
14:03:16.0 (26964991)|STATEMENT_EXECUTE|[20]
14:03:16.0 (26998631)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
14:03:16.0 (27009998)|HEAP_ALLOCATE|[18]|Bytes:5
14:03:16.0 (27028023)|HEAP_ALLOCATE|[18]|Bytes:12
14:03:16.0 (27033469)|VARIABLE_SCOPE_BEGIN|[18]|r|RecordType|true|false
14:03:16.0 (27043622)|VARIABLE_ASSIGNMENT|[18]|r|{"Id":"012a0000001CGdPAAW","Name":"Requirements"}|0xe21f5f1
14:03:16.0 (27046261)|STATEMENT_EXECUTE|[18]
14:03:16.0 (27047467)|STATEMENT_EXECUTE|[19]
14:03:16.0 (27066072)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
14:03:16.0 (27070012)|STATEMENT_EXECUTE|[20]
14:03:16.0 (27078878)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
14:03:16.0 (27086777)|HEAP_ALLOCATE|[18]|Bytes:5
14:03:16.0 (27099587)|HEAP_ALLOCATE|[18]|Bytes:12
14:03:16.0 (27103933)|VARIABLE_SCOPE_BEGIN|[18]|r|RecordType|true|false
14:03:16.0 (27111729)|VARIABLE_ASSIGNMENT|[18]|r|{"Id":"012a0000001CGdQAAW","Name":"User Guide"}|0x383b1b3c
14:03:16.0 (27114309)|STATEMENT_EXECUTE|[18]
14:03:16.0 (27115388)|STATEMENT_EXECUTE|[19]
14:03:16.0 (27128888)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
14:03:16.0 (27132470)|STATEMENT_EXECUTE|[20]
14:03:16.0 (27140663)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
14:03:16.0 (27147551)|HEAP_ALLOCATE|[18]|Bytes:5
14:03:16.0 (27159017)|HEAP_ALLOCATE|[18]|Bytes:12
14:03:16.0 (27162969)|VARIABLE_SCOPE_BEGIN|[18]|r|RecordType|true|false
14:03:16.0 (27171378)|VARIABLE_ASSIGNMENT|[18]|r|{"Id":"012a0000001CGdUAAW","Name":"IT Solutions Analysi (1 more) ..."}|0x4cc400b8
14:03:16.0 (27173959)|STATEMENT_EXECUTE|[18]
14:03:16.0 (27175113)|STATEMENT_EXECUTE|[19]
14:03:16.0 (27187868)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
14:03:16.0 (27191321)|STATEMENT_EXECUTE|[20]
14:03:16.0 (27199082)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
14:03:16.0 (27205975)|HEAP_ALLOCATE|[18]|Bytes:5
14:03:16.0 (27217310)|HEAP_ALLOCATE|[18]|Bytes:12
14:03:16.0 (27221042)|VARIABLE_SCOPE_BEGIN|[18]|r|RecordType|true|false
14:03:16.0 (27227317)|VARIABLE_ASSIGNMENT|[18]|r|{"Id":"012a0000001Ft7fAAC","Name":"Release Notes"}|0x6295b6f6
14:03:16.0 (27229314)|STATEMENT_EXECUTE|[18]
14:03:16.0 (27230297)|STATEMENT_EXECUTE|[19]
14:03:16.0 (27242659)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
14:03:16.0 (27246046)|STATEMENT_EXECUTE|[20]
14:03:16.0 (27253521)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
14:03:16.0 (27259939)|HEAP_ALLOCATE|[18]|Bytes:5
14:03:16.0 (27274934)|HEAP_ALLOCATE|[18]|Bytes:12
14:03:16.0 (27279056)|VARIABLE_SCOPE_BEGIN|[18]|r|RecordType|true|false
14:03:16.0 (27285305)|VARIABLE_ASSIGNMENT|[18]|r|{"Id":"012a0000001FtHaAAK","Name":"Video"}|0x639a5928
14:03:16.0 (27287654)|STATEMENT_EXECUTE|[18]
14:03:16.0 (27288722)|STATEMENT_EXECUTE|[19]
14:03:16.0 (27302482)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
14:03:16.0 (27310485)|STATEMENT_EXECUTE|[20]
14:03:16.0 (27318743)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
14:03:16.0 (27325726)|HEAP_ALLOCATE|[18]|Bytes:5
14:03:16.0 (27337230)|HEAP_ALLOCATE|[18]|Bytes:12
14:03:16.0 (27340974)|VARIABLE_SCOPE_BEGIN|[18]|r|RecordType|true|false
14:03:16.0 (27347310)|VARIABLE_ASSIGNMENT|[18]|r|{"Id":"012a0000001FtblAAC","Name":"Picture"}|0x3184c9c
14:03:16.0 (27349330)|STATEMENT_EXECUTE|[18]
14:03:16.0 (27350315)|STATEMENT_EXECUTE|[19]
14:03:16.0 (27362549)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
14:03:16.0 (27365910)|STATEMENT_EXECUTE|[20]
14:03:16.0 (27373369)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
14:03:16.0 (27379914)|HEAP_ALLOCATE|[18]|Bytes:5
14:03:16.0 (27390321)|HEAP_ALLOCATE|[18]|Bytes:12
14:03:16.0 (27393837)|VARIABLE_SCOPE_BEGIN|[18]|r|RecordType|true|false
14:03:16.0 (27399864)|VARIABLE_ASSIGNMENT|[18]|r|{"Id":"012a0000001FtdmAAC","Name":"Test-User or UAT"}|0x6fb54d87
14:03:16.0 (27401852)|STATEMENT_EXECUTE|[18]
14:03:16.0 (27402806)|STATEMENT_EXECUTE|[19]
14:03:16.0 (27414748)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
14:03:16.0 (27418116)|STATEMENT_EXECUTE|[20]
14:03:16.0 (27425581)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
14:03:16.0 (27432009)|HEAP_ALLOCATE|[18]|Bytes:5
14:03:16.0 (27442504)|HEAP_ALLOCATE|[18]|Bytes:12
14:03:16.0 (27446072)|VARIABLE_SCOPE_BEGIN|[18]|r|RecordType|true|false
14:03:16.0 (27452585)|VARIABLE_ASSIGNMENT|[18]|r|{"Id":"012a0000001FtdrAAC","Name":"Architectural Diagra (1 more) ..."}|0x20d86481
14:03:16.0 (27454687)|STATEMENT_EXECUTE|[18]
14:03:16.0 (27455694)|STATEMENT_EXECUTE|[19]
14:03:16.0 (27467770)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
14:03:16.0 (27471111)|STATEMENT_EXECUTE|[20]
14:03:16.0 (27478655)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
14:03:16.0 (27485243)|HEAP_ALLOCATE|[18]|Bytes:5
14:03:16.0 (27495642)|HEAP_ALLOCATE|[18]|Bytes:12
14:03:16.0 (27499205)|VARIABLE_SCOPE_BEGIN|[18]|r|RecordType|true|false
14:03:16.0 (27505716)|VARIABLE_ASSIGNMENT|[18]|r|{"Id":"012a0000001FtdwAAC","Name":"GUI Mockup-Screen La (4 more) ..."}|0x113a2aab
14:03:16.0 (27507641)|STATEMENT_EXECUTE|[18]
14:03:16.0 (27508657)|STATEMENT_EXECUTE|[19]
14:03:16.0 (27526004)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
14:03:16.0 (27529624)|STATEMENT_EXECUTE|[20]
14:03:16.0 (27537488)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
14:03:16.0 (27544256)|HEAP_ALLOCATE|[18]|Bytes:5
14:03:16.0 (27555239)|HEAP_ALLOCATE|[18]|Bytes:12
14:03:16.0 (27558978)|VARIABLE_SCOPE_BEGIN|[18]|r|RecordType|true|false
14:03:16.0 (27564962)|VARIABLE_ASSIGNMENT|[18]|r|{"Id":"012a0000001FujOAAS","Name":"Email Attachments"}|0x5087e8bc
14:03:16.0 (27566923)|STATEMENT_EXECUTE|[18]
14:03:16.0 (27567896)|STATEMENT_EXECUTE|[19]
14:03:16.0 (27579866)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
14:03:16.0 (27583182)|STATEMENT_EXECUTE|[20]
14:03:16.0 (27590962)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
14:03:16.0 (27597517)|HEAP_ALLOCATE|[18]|Bytes:5
14:03:16.0 (27607911)|HEAP_ALLOCATE|[18]|Bytes:12
14:03:16.0 (27611715)|VARIABLE_SCOPE_BEGIN|[18]|r|RecordType|true|false
14:03:16.0 (27617626)|VARIABLE_ASSIGNMENT|[18]|r|{"Id":"012a0000001RUUOAA4","Name":"Code-Setup Review"}|0x159b4e5e
14:03:16.0 (27619496)|STATEMENT_EXECUTE|[18]
14:03:16.0 (27620474)|STATEMENT_EXECUTE|[19]
14:03:16.0 (27632268)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
14:03:16.0 (27635864)|STATEMENT_EXECUTE|[20]
14:03:16.0 (27643391)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
14:03:16.0 (27649783)|HEAP_ALLOCATE|[18]|Bytes:5
14:03:16.0 (27659984)|HEAP_ALLOCATE|[18]|Bytes:12
14:03:16.0 (27663534)|VARIABLE_SCOPE_BEGIN|[18]|r|RecordType|true|false
14:03:16.0 (27669310)|VARIABLE_ASSIGNMENT|[18]|r|{"Id":"012a0000001RUUPAA4","Name":"Communication Plan"}|0x7684cc00
14:03:16.0 (27671224)|STATEMENT_EXECUTE|[18]
14:03:16.0 (27672200)|STATEMENT_EXECUTE|[19]
14:03:16.0 (27684645)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
14:03:16.0 (27688155)|STATEMENT_EXECUTE|[20]
14:03:16.0 (27699656)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:-4
14:03:16.0 (27707110)|HEAP_ALLOCATE|[18]|Bytes:5
